item	onset	offset
n	212.869	212.927
ɪ	212.927	212.996
k	212.996	213.084
ə	213.084	213.214
w	213.353	213.401
ɑu	213.401	213.599
o	213.599	213.734
k	213.734	213.85
m	213.85	213.908
o	213.908	213.981
j	213.981	214.024
ə	214.024	214.066
n	214.066	214.128
a	214.128	214.282
m	214.282	214.342
ə	214.342	214.384
ɑ	215.047	215.105
n	215.105	215.164
ɪ	215.164	215.233
k	215.233	215.33
a	215.33	215.45
s	215.45	215.513
x	215.513	215.576
ɛi	215.576	215.655
n	215.655	215.74
o	215.74	215.802
χ	215.802	215.861
ɑ	215.861	215.903
l	215.903	215.93
b	215.93	216.023
ɑ	216.023	216.062
ŋ	216.062	216.143
t	216.143	216.212
ə	216.212	216.249
z	216.249	216.329
ɛi	216.329	216.469
n	216.469	216.549
h	216.675	216.736
a	216.736	216.813
r	216.813	216.849
ɑ	216.849	216.904
t	216.904	216.992
k	216.992	217.041
l	217.041	217.067
ɔ	217.067	217.126
p	217.126	217.184
t	217.184	217.242
z	217.242	217.334
o	217.334	217.459
l	217.459	217.531
œy	217.531	217.653
d	217.653	217.745
ɑ	217.745	217.796
t	217.796	217.856
j	217.856	217.886
ə	217.886	217.927
t	217.927	218.01
h	218.01	218.064
o	218.064	218.257
r	218.257	218.325
t	218.325	218.442
w	219.345	219.39
a	219.39	219.443
r	219.443	219.465
ɔ	219.465	219.509
m	219.509	219.55
b	219.55	219.583
ɛ	219.583	219.607
n	219.607	219.634
j	219.634	219.684
ə	219.684	219.725
b	219.725	219.821
ɑ	219.821	219.903
ŋ	219.903	219.971
v	220.178	220.249
o	220.249	220.297
r	220.297	220.327
t	220.327	220.382
ɔ	220.382	220.46
n	220.46	220.523
w	220.523	220.609
i	220.609	220.792
r	220.792	220.914
ɔ	221.017	221.081
f	221.081	221.186
o	221.186	221.244
r	221.244	221.279
m	221.279	221.335
ɛi	221.335	221.502
v	224.4439	224.51
ɑ	224.51	224.662
l	224.662	224.729
ə	224.729	224.781
t	224.969	225.082
w	225.082	225.141
e	225.141	225.4313
j	225.712	225.756
a	225.756	225.976
d	225.976	226.031
ɑ	226.031	226.059
t	226.059	226.121
ɔ	226.121	226.213
n	226.213	226.294
w	226.294	226.359
i	226.359	226.44
r	226.44	226.481
ɪ	226.481	226.537
s	226.537	226.603
i	226.603	226.651
t	226.651	226.699
s	226.699	226.741
a	226.741	226.832
p	226.832	226.9
ɑ	226.9	226.959
r	226.959	227.011
t	227.011	227.073
s	227.073	227.225
d	227.225	227.281
a	227.281	227.319
r	227.319	227.342
k	227.342	227.399
ɑ	227.399	227.437
n	227.437	227.484
ɪ	227.484	227.539
k	227.539	227.601
n	227.601	227.646
ɪ	227.646	227.696
k	227.696	227.729
s	227.729	227.791
a	227.791	227.838
n	227.838	227.868
v	227.868	227.916
ə	227.916	227.943
r	227.943	227.966
ɑ	227.966	228.049
n	228.049	228.105
d	228.105	228.15
ə	228.15	228.188
r	228.188	228.218
ə	228.218	228.26
m	229.282	229.323
a	229.323	229.435
r	229.435	229.496
v	229.587	229.705
o	229.705	229.775
m	229.775	229.856
ɛi	229.856	230.032
u	230.032	230.122
f	230.122	230.215
j	230.215	230.242
ə	230.242	230.258
n	230.258	230.3
i	230.3	230.377
t	230.377	230.418
b	230.418	230.481
ɑ	230.481	230.551
ŋ	230.551	230.625
t	230.625	230.705
ə	230.705	230.744
z	230.744	230.813
ɛi	230.813	230.944
n	230.944	231.007
ɪ	231.348	231.431
k	231.431	231.477
b	231.477	231.495
ɛ	231.495	231.557
m	231.557	231.682
ɑ	231.682	231.736
s	231.736	231.836
k	231.836	231.912
r	231.912	231.96
a	231.96	232.086
m	232.086	232.152
ə	232.152	232.187
r	232.187	232.251
n	232.251	232.308
ɪ	232.308	232.331
k	232.331	232.373
z	232.373	232.436
ʏ	232.436	232.518
χ	232.518	232.572
e	232.572	232.621
n	232.621	232.666
v	232.666	232.806
l	232.806	232.851
i	232.851	232.927
χ	232.927	232.981
k	232.981	233.108
w	233.108	233.15
a	233.15	233.299
d	233.299	233.358
u	233.358	233.441
n	233.441	233.525
ɛ	233.9	233.991
n	233.991	234.035
ɪ	234.035	234.08
k	234.08	234.151
b	234.151	234.19
ɛ	234.19	234.242
n	234.242	234.321
b	234.321	234.361
l	234.361	234.399
ɛi	234.399	234.729
ɑ	234.729	234.798
l	234.798	234.822
s	234.822	234.888
d	234.888	234.966
ə	234.966	234.998
v	234.998	235.138
l	235.138	235.181
i	235.181	235.29
x	235.29	235.379
ə	235.379	235.442
m	235.442	235.57
ɛi	235.57	235.785
o	235.785	235.933
k	235.933	236.025
n	236.025	236.068
ɪ	236.068	236.134
k	236.134	236.183
s	236.183	236.236
d	236.236	236.309
u	236.309	236.416
n	236.416	236.5152
m	237.053	237.132
ɑ	237.132	237.257
s	237.257	237.349
k	237.349	237.42
r	237.42	237.45
a	237.45	237.623
m	237.623	237.687
ə	237.687	237.752
h	237.752	237.774
ɛ	237.774	237.845
b	237.845	237.933
t	237.933	237.972
y	237.972	238.037
χ	238.037	238.099
ə	238.099	238.138
z	238.138	238.278
ɛ	238.278	238.374
χ	238.374	238.454
t	238.454	238.553
w	238.553	238.606
ɑ	238.606	238.642
t	238.642	238.733
ɪ	238.733	238.818
s	238.818	238.873
d	238.873	238.911
ɑ	238.911	238.972
t	238.972	239.018
v	239.018	239.101
o	239.101	239.183
ə	239.183	239.262
n	239.262	239.32
v	239.32	239.412
ɑ	239.412	239.558
k	239.558	239.62
n	270.208	270.27
ɑu	270.27	270.405
ɪ	270.405	270.477
k	270.477	270.574
t	270.574	270.614
r	270.614	270.645
ɛ	270.645	270.689
k	270.689	270.736
v	270.736	270.833
ɑ	270.833	270.867
n	270.867	270.944
d	270.944	270.977
ɔ	270.977	271.045
r	271.045	271.126
p	271.126	271.202
n	271.202	271.241
a	271.241	271.288
r	271.288	271.326
d	271.326	271.386
ɔ	271.386	271.462
r	271.462	271.529
p	271.529	271.602
ɛ	271.602	271.67
v	271.67	271.747
ɛ	271.747	271.792
k	271.792	271.871
o	271.871	271.973
p	271.973	272.055
d	272.055	272.091
ə	272.091	272.121
b	272.121	272.214
u	272.214	272.33
r	272.33	272.365
ə	272.365	272.398
v	272.398	272.448
ɑ	272.448	272.481
n	272.481	272.523
ɑ	272.523	272.6
l	272.6	272.66
ə	272.66	272.698
r	272.698	272.728
l	272.728	272.785
ɛi	272.785	272.991
w	273.766	273.804
ɑ	273.804	273.871
t	273.871	273.94
v	273.94	274.029
o	274.029	274.081
d	274.081	274.166
ɪ	274.166	274.274
ŋ	274.274	274.346
ə	274.346	274.45
d	274.45	274.523
ɑ	274.523	274.676
n	274.676	274.745
n	274.897	274.931
o	274.931	275.0
j	275.0	275.067
a	275.067	275.365
z	275.365	275.503
o	275.503	275.677
ɑ	275.677	275.777
l	275.777	275.825
ə	275.825	275.881
l	275.881	275.949
ɛi	275.949	276.193
ɪ	276.764	276.851
k	276.851	276.935
w	276.935	276.979
ɪ	276.979	277.021
l	277.021	277.076
r	277.076	277.123
a	277.123	277.285
d	277.285	277.325
ə	277.325	277.349
w	277.349	277.405
ɑ	277.405	277.45
t	277.45	277.533
j	277.533	277.552
ə	277.552	277.574
v	277.574	277.639
ɛ	277.639	277.693
k	277.693	277.779
o	277.779	277.911
p	277.911	277.987
t	277.987	278.088
